ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	Complex comment	Disease comment	Subunits comment	SWISSPROT organism	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)
8784	EGFR-SNX2 complex	Human	None	human SNX expressed in COS7 cells	O60749-1;P00533	6643;1956	MI:0019-coimmunoprecipitation;MI:0113-western blot	GO:0005154;GO:0007173	epidermal growth factor receptor binding;epidermal growth factor receptor signaling pathway	30.05.01.12.01	EGF-receptor signalling pathway	9819414	In extracts from cells overexpressing EGF receptors and the various sorting nexins, it was found that SNX1 and SNX1A were readily detected in EGF receptor immunoprecipitates. SNX2 and SNX4 were detected, but to a lesser degree, and SNX3 was undetectable.	None	SNX2 = splice variant/isoform;	Homo sapiens (Human);Homo sapiens (Human)	Isoform 1 of Sorting nexin-2;Epidermal growth factor receptor	SNX2;EGFR	None;ERBB ERBB1 HER1
8785	EGFR-SNX4 complex	Human	None	human SNX expressed in COS7 cells	O95219-1;P00533	8723;1956	MI:0019-coimmunoprecipitation;MI:0113-western blot	GO:0005154;GO:0007173	epidermal growth factor receptor binding;epidermal growth factor receptor signaling pathway	30.05.01.12.01	EGF-receptor signalling pathway	9819414	In extracts from cells overexpressing EGF receptors and the various sorting nexins, it was found that SNX1 and SNX1A were readily detected in EGF receptor immunoprecipitates. SNX2 and SNX4 were detected, but to a lesser degree, and SNX3 was undetectable.	None	SNX4 = splice variant/isoform;	Homo sapiens (Human);Homo sapiens (Human)	Isoform 1 of Sorting nexin-4;Epidermal growth factor receptor	SNX4;EGFR	None;ERBB ERBB1 HER1
8786	PDGFRB-SNX1A complex	Human	None	human SNX expressed in COS7 cells	P09619;Q13596-2	5159;6642	MI:0019-coimmunoprecipitation;MI:0113-western blot	GO:0005161;GO:0005017	platelet-derived growth factor receptor binding;platelet-derived growth factor receptor activity	None	None	9819414	SNX1, SNX1A, and SNX2 were readily coimmunoprecipitated with PDGF receptors (beta isoform), while SNX4 was coimmunoprecipitated to a lesser extent. As with the insulin receptor and EGF receptor, no association was detectable between the PDGF receptor and SNX3.	None	SNX1A is splice variant/isoform of SNX1;	Homo sapiens (Human);Homo sapiens (Human)	Platelet-derived growth factor receptor beta;Isoform 1A of Sorting nexin-1	PDGFRB;SNX1	PDGFR PDGFR1;None
8787	PDGFRB-SNX2 complex	Human	None	human SNX expressed in COS7 cells	O60749-1;P09619	6643;5159	MI:0019-coimmunoprecipitation	GO:0005017;GO:0005161	platelet-derived growth factor receptor activity;platelet-derived growth factor receptor binding	None	None	9819414	SNX1, SNX1A, and SNX2 were readily coimmunoprecipitated with PDGF receptors (beta isoform), while SNX4 was coimmunoprecipitated to a lesser extent. As with the insulin receptor and EGF receptor, no association was detectable between the PDGF receptor and SNX3.	None	SNX2 = splice variant/isoform;	Homo sapiens (Human);Homo sapiens (Human)	Isoform 1 of Sorting nexin-2;Platelet-derived growth factor receptor beta	SNX2;PDGFRB	None;PDGFR PDGFR1
8788	PDGFRB-SNX4 complex	Human	None	human SNX expressed in COS7 cells	O95219-1;P09619	8723;5159	MI:0019-coimmunoprecipitation;MI:0113-western blot	GO:0005017;GO:0005161	platelet-derived growth factor receptor activity;platelet-derived growth factor receptor binding	None	None	9819414	SNX1, SNX1A, and SNX2 were readily coimmunoprecipitated with PDGF receptors (beta isoform), while SNX4 was coimmunoprecipitated to a lesser extent. As with the insulin receptor and EGF receptor, no association was detectable between the PDGF receptor and SNX3.	None	SNX4 = splice variant/isoform;	Homo sapiens (Human);Homo sapiens (Human)	Isoform 1 of Sorting nexin-4;Platelet-derived growth factor receptor beta	SNX4;PDGFRB	None;PDGFR PDGFR1
8791	PEX5-PEX12 complex	Human	None	skin fibroblast cell lines	O00623;P50542	5193;5830;	MI:0019-coimmunoprecipitation;MI:0018-two hybrid	GO:0016558;GO:0071535	protein import into peroxisome matrix;RING-like zinc finger domain binding	None	None	10562279	Peroxisomal matrix protein import requires PEX12, an integral peroxisomal membrane protein with a zinc ring domain at its carboxy terminus. It was observed that the zinc-binding domain of PEX12 binds both PEX5, the PTS1 receptor, and PEX10, another integral peroxisomal membrane protein required for peroxisomal matrix protein import.	Mutations in human PEX12 result in Zellweger syndrome, a lethal neurological disorder, and implicate the zinc ring domain in PEX12 function. A missense mutation in the PEX12 zinc-binding domain, S320F, reduces the binding of PEX12 to PEX5 and PEX10. Overexpression of either PEX5 or PEX10 can suppress this PEX12 mutation.	None	Homo sapiens (Human);Homo sapiens (Human)	Peroxisome assembly protein 12;Peroxisomal targeting signal 1 receptor	PEX12;PEX5	PAF3;PXR1
8792	PEX10-PEX12 complex	Human	None	skin fibroblast cell lines	O00623;O60683	5193;5192	MI:0019-coimmunoprecipitation;MI:0018-two hybrid	GO:0016558;GO:0071535	protein import into peroxisome matrix;RING-like zinc finger domain binding	None	None	10562279	Peroxisomal matrix protein import requires PEX12, an integral peroxisomal membrane protein with a zinc ring domain at its carboxy terminus. It was observed that the zinc-binding domain of PEX12 binds both PEX5, the PTS1 receptor, and PEX10, another integral peroxisomal membrane protein required for peroxisomal matrix protein import.	Mutations in human PEX12 result in Zellweger syndrome, a lethal neurological disorder, and implicate the zinc ring domain in PEX12 function. A missense mutation in the PEX12 zinc-binding domain, S320F, reduces the binding of PEX12 to PEX5 and PEX10. Overexpression of either PEX5 or PEX10 can suppress this PEX12 mutation.	None	Homo sapiens (Human);Homo sapiens (Human)	Peroxisome assembly protein 12;Peroxisome biogenesis factor 10	PEX12;PEX10	PAF3;RNF69
8796	RAB5IF-TMCO1 complex	Human	C20orf24-TMCO1 complex; OPTI-TMCO1 complex	in vitro	Q9BUV8;Q9UM00	55969;;54499;	MI:0019-coimmunoprecipitation	GO:0061077	chaperone-mediated protein folding	None	None	36261528	According to a model for multipass membrane protein biogenesis, nascent membrane proteins trigger not only PAT complex (CORUM-ID 7781) recruitment but also the NCLN-NOMO1-TMEM147 complex (CORUM-ID 7865) and the RAB5IF-TMCO1 complex.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Respirasome Complex Assembly Factor 1;Calcium load-activated calcium channel	RAB5IF;TMCO1	C20orf24 RCAF1;TMCC4
8802	NOD2-RIPK2 complex	Human	None	SW480 cells; HT29 cells; HCT116 cells	O43353;Q9HC29	8767;64127	MI:0019-coimmunoprecipitation	GO:0045089	positive regulation of innate immune response	None	None	21931826	None	Cigarette smoke extract delayed TNFalpha-induced NOD2 mRNA expression and was associated with abnormal NOD2/RIPK2 interaction, reduced NFkappaB activity and decreased chemokine production. These effects may be involved in the pathogenesis of small-intestinal Crohn's disease.	None	Homo sapiens (Human);Homo sapiens (Human)	Receptor-interacting serine/threonine-protein kinase 2;Nucleotide-binding oligomerization domain-containing protein 2	RIPK2;NOD2	CARDIAK RICK RIP2;CARD15 IBD1
8808	KEAP1-SQSTM1 complex	Human	KEAP1-p62 complex	SKOV3 cells (ovarian adenocarcinoma cells)	Q13501;Q14145	8878;9817	MI:0019-coimmunoprecipitation;MI:0416-fluorescence microscopy	GO:0006954;GO:0045088	inflammatory response;regulation of innate immune response	36.25.16.07	inflammatory response	32047536	The autophagy-adaptor protein SQSTM1 (p62) is assembled on selective autophagic cargos such as ubiquitinated organelles and subsequently phosphorylated in an mTORC1-dependent manner. Phosphorylation of SQSTM1 markedly increases SQSTM1\u2019s binding affinity for Keap1, an adaptor of the Cul3-ubiquitin E3 ligase complex responsible for degrading Nrf2. Thus, SQSTM1 phosphorylation induces expression of cytoprotective Nrf2 targets (24011591).	Results of the study suggest that overexpressed SQSTM1 (p62) may protect cells from oxidative damage caused by vitamin K3 through activating Keap1/Nrf2 signaling in ovarian cancer.	None	Homo sapiens (Human);Homo sapiens (Human)	Sequestosome-1;Kelch-like ECH-associated protein 1	SQSTM1;KEAP1	ORCA OSIL;INRF2 KIAA0132 KLHL19
8811	ACHE-NRXN1 complex	Human	ACHE-NRXN1B complex	HEK293 cells	P22303;P58400	43;;9378	MI:0019-coimmunoprecipitation	GO:0060076;GO:0003990;GO:0035249	excitatory synapse;acetylcholinesterase activity;synaptic transmission, glutamatergic	None	None	24594013	The activity and expression levels of AChE control the amount of extracellular acetylcholine, which critically regulates glutamatergic synaptic transmission. When expressed in human embryonic kidney 293 cells, N-glycosylated AChE co-immunoprecipitated with non-O-glycosylated neurexin-1beta, with N-glycosylation of the AChE being required for this co-precipitation to occur.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Acetylcholinesterase (AChE) (EC 3.1.1.7);Neurexin-1-beta	ACHE;NRXN1	None;
8813	APOA1-BCHE complex	Human	None	human blood serum	P02647;P06276	335;590;	MI:0113-western blot;MI:0091-chromatography technology;MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0004104	cholinesterase activity	None	None	34639003	Butyrylcholinesterase (BChE), an enzyme existing mainly as a glycosylated soluble tetramer, plays an important role in the metabolism of many drugs. BChE interacts with a number of proteins in the human serum. Some of these interactions seem to be more stable than transient. BChE copurification with ApoA-I and the density of some fractions containing BChE corresponding to high-density lipoprotein cholesterol (HDL) during ultracentrifugation suggest its interactions with HDL. A lower BChE plasma activity was observed in individuals with severely reduced HDL levels. Western blot analysis revealed ApoA-I and ApoB100, which are protein markers of HDL and LDL, respectively.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Apolipoprotein A-I;Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)	APOA1;BCHE	None;CHE1
8814	APOB-BCHE complex	Human	ApoB100-BCHE complex	human blood serum	P04114;P06276	338;;590;	MI:0019-coimmunoprecipitation;MI:0113-western blot;MI:0091-chromatography technology	GO:0004104	cholinesterase activity	None	None	34639003	Butyrylcholinesterase (BChE), an enzyme existing mainly as a glycosylated soluble tetramer, plays an important role in the metabolism of many drugs. BChE interacts with a number of proteins in the human serum. Some of these interactions seem to be more stable than transient. BChE copurification with ApoA-I and the density of some fractions containing BChE corresponding to high-density lipoprotein cholesterol (HDL) during ultracentrifugation suggest its interactions with HDL. A lower BChE plasma activity was observed in individuals with severely reduced HDL levels. Western blot analysis revealed ApoA-I and ApoB100, which are protein markers of HDL and LDL, respectively.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)];Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)	APOB;BCHE	None;CHE1
8815	BCHE-CLU complex	Human	None	human blood serum	P06276;P10909	590;;1191;	MI:0004-affinity chromatography technology;MI:0096-pull down;MI:0019-coimmunoprecipitation;MI:0069-mass spectrometry studies of complexes	GO:0004104	cholinesterase activity	None	None	34639003	Butyrylcholinesterase (BChE), an enzyme existing mainly as a glycosylated soluble tetramer, plays an important role in the metabolism of many drugs. Binding studies revealed that BChE interacts with a number of proteins in the human serum. Pull-down studies showed that probably all detected keratin and the immune system proteins bind non-specifically, while proteins, i.e., ApoA-I, clusterin, vitronectin, and serum albumin, seem to bind more specifically to BChE protein.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase);Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Sulfated glycoprotein 2) (SGP-2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain)]	BCHE;CLU	CHE1;APOJ CLI KUB1
8817	BCHE-KRT1 complex	Human	None	human blood serum	P04264;P06276	3848;;590;	MI:0019-coimmunoprecipitation;MI:0096-pull down;MI:0069-mass spectrometry studies of complexes;MI:0113-western blot	GO:0004104	cholinesterase activity	None	None	34639003	Butyrylcholinesterase (BChE), an enzyme existing mainly as a glycosylated soluble tetramer, plays an important role in the metabolism of many drugs. Binding studies revealed that BChE interacts with a number of proteins in the human serum. Pull-down studies showed that probably all detected keratin and the immune system proteins bind non-specifically, while proteins, i.e., ApoA-I, clusterin, vitronectin, and serum albumin, seem to bind more specifically to BChE protein.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1);Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)	KRT1;BCHE	KRTA;CHE1
8818	BCHE-KRT10 complex	Human	None	human blood serum	P06276;P13645	590;;3858;	MI:0019-coimmunoprecipitation;MI:0096-pull down;MI:0069-mass spectrometry studies of complexes;MI:0113-western blot	GO:0004104	cholinesterase activity	None	None	34639003	Butyrylcholinesterase (BChE), an enzyme existing mainly as a glycosylated soluble tetramer, plays an important role in the metabolism of many drugs. Binding studies revealed that BChE interacts with a number of proteins in the human serum. Pull-down studies showed that probably all detected keratin and the immune system proteins bind non-specifically, while proteins, i.e., ApoA-I, clusterin, vitronectin, and serum albumin, seem to bind more specifically to BChE protein.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase);Keratin, type I cytoskeletal 10 (Cytokeratin-10) (CK-10) (Keratin-10) (K10)	BCHE;KRT10	CHE1;KPP
8819	ALB-BCHE complex	Human	None	human blood serum	P02768;P06276	213;;590;	MI:0019-coimmunoprecipitation;MI:0096-pull down;MI:0069-mass spectrometry studies of complexes;MI:0113-western blot	GO:0004104	cholinesterase activity	None	None	34639003	Butyrylcholinesterase (BChE), an enzyme existing mainly as a glycosylated soluble tetramer, plays an important role in the metabolism of many drugs. Binding studies revealed that BChE interacts with a number of proteins in the human serum. Pull-down studies showed that probably all detected keratin and the immune system proteins bind non-specifically, while proteins, i.e., ApoA-I, clusterin, vitronectin, and serum albumin, seem to bind more specifically to BChE protein.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Albumin;Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)	ALB;BCHE	None;CHE1
8820	BCHE-KRT9 complex	Human	None	human blood serum	P06276;P35527	590;;3857;	MI:0019-coimmunoprecipitation;MI:0096-pull down;MI:0069-mass spectrometry studies of complexes;MI:0113-western blot	GO:0004104	cholinesterase activity	None	None	34639003	Butyrylcholinesterase (BChE), an enzyme existing mainly as a glycosylated soluble tetramer, plays an important role in the metabolism of many drugs. Binding studies revealed that BChE interacts with a number of proteins in the human serum. Pull-down studies showed that probably all detected keratin and the immune system proteins bind non-specifically, while proteins, i.e., ApoA-I, clusterin, vitronectin, and serum albumin, seem to bind more specifically to BChE protein.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase);Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)	BCHE;KRT9	CHE1;None
8821	BCHE-KRT2 complex	Human	None	human blood serum	P06276;P35908	590;;3849;	MI:0019-coimmunoprecipitation;MI:0096-pull down;MI:0069-mass spectrometry studies of complexes;MI:0113-western blot	GO:0004104	cholinesterase activity	None	None	34639003	Butyrylcholinesterase (BChE), an enzyme existing mainly as a glycosylated soluble tetramer, plays an important role in the metabolism of many drugs. Binding studies revealed that BChE interacts with a number of proteins in the human serum. Pull-down studies showed that probably all detected keratin and the immune system proteins bind non-specifically, while proteins, i.e., ApoA-I, clusterin, vitronectin, and serum albumin, seem to bind more specifically to BChE protein.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase);Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)	BCHE;KRT2	CHE1;KRT2A KRT2E
